ID,性別,最新の設備を整えている,施設の見た目は立派である,スタッフの身なりがきちんとしている,施設の外観は、提供されるサービスの種類と一致している,約束を守る,お客様が問題を抱えているときに、誠実に対応してくれる,頼りになる,時間通りにサービスを提供してくれる,正確に記録を管理している,いつサービスが提供されるか正確に伝わっていない,迅速なサービスが期待できない,いつも進んでお客様に力を貸そうとするわけではない,忙しくてもお客様の要望に迅速に対応してくれるわけではない,スタッフを信頼できる,スタッフと安心して接することができる,スタッフは礼儀正しい,スタッフはお客様の質問に答えられるだけの十分な知識を持っている,お客様一人ひとりの要望に合わせて対応していない,スタッフは個人的な要望をくみ取ってくれない,スタッフはお客様が何を必要としているかが分かっていない,お客様の一番関心のあることを気にかけてくれない,営業時間は便利でない,店員,飲み物,金額
1,女性,そう思う,そう思う,強くそう思う,強くそう思う,強くそう思う,強くそう思う,強くそう思う,強くそう思う,強くそう思う,そう思わない,全くそう思わない,ややそう思わない,強くそう思う,強くそう思う,強くそう思う,強くそう思う,強くそう思う,強くそう思う,全くそう思わない,強くそう思う,強くそう思う,どちらともいえない,人,茶,250
2,女性,どちらともいえない,どちらともいえない,強くそう思う,ややそう思う,どちらともいえない,どちらともいえない,どちらともいえない,強くそう思う,ややそう思う,そう思う,そう思わない,そう思わない,どちらともいえない,そう思う,ややそう思う,強くそう思う,強くそう思う,どちらともいえない,どちらともいえない,そう思わない,どちらともいえない,どちらともいえない,人,水,350
3,女性,強くそう思う,ややそう思わない,そう思う,どちらともいえない,そう思う,全くそう思わない,そう思わない,そう思う,そう思う,そう思う,強くそう思う,そう思う,強くそう思う,ややそう思わない,全くそう思わない,そう思う,強くそう思う,ややそう思わない,そう思う,ややそう思う,強くそう思う,どちらともいえない,ロボット,水,220
4,男性,そう思う,ややそう思わない,そう思わない,そう思う,ややそう思う,ややそう思わない,ややそう思う,ややそう思う,そう思う,強くそう思う,そう思う,ややそう思う,そう思う,ややそう思う,そう思う,そう思う,ややそう思わない,ややそう思う,強くそう思う,強くそう思う,そう思う,そう思わない,ロボット,茶,110
5,男性,強くそう思う,ややそう思う,強くそう思う,ややそう思わない,そう思う,そう思う,どちらともいえない,そう思う,そう思う,ややそう思う,強くそう思う,ややそう思う,ややそう思う,ややそう思う,強くそう思う,強くそう思う,そう思う,そう思う,そう思う,ややそう思う,ややそう思う,どちらともいえない,ロボット,茶,150
6,女性,そう思う,そう思う,強くそう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思う,そう思わない,そう思わない,ややそう思わない,そう思わない,そう思う,そう思う,そう思う,そう思う,そう思わない,そう思わない,そう思わない,そう思わない,そう思う,人,茶,110
7,女性,そう思う,そう思う,そう思う,強くそう思う,ややそう思う,そう思わない,そう思わない,強くそう思う,強くそう思う,ややそう思う,ややそう思わない,強くそう思う,ややそう思わない,ややそう思わない,そう思わない,強くそう思う,そう思う,そう思う,そう思う,ややそう思わない,強くそう思う,どちらともいえない,ロボット,茶,100
8,男性,強くそう思う,どちらともいえない,ややそう思う,どちらともいえない,そう思う,そう思う,そう思う,そう思う,どちらともいえない,ややそう思う,どちらともいえない,ややそう思わない,ややそう思う,そう思う,そう思う,そう思う,そう思う,ややそう思わない,そう思わない,そう思わない,ややそう思わない,どちらともいえない,ロボット,茶,250
9,女性,ややそう思う,ややそう思わない,ややそう思う,ややそう思わない,ややそう思う,ややそう思わない,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思う,ややそう思わない,ややそう思う,ややそう思う,ややそう思わない,ややそう思う,ややそう思わない,ややそう思う,ややそう思わない,ロボット,水,100
10,女性,そう思う,そう思う,ややそう思う,どちらともいえない,そう思う,どちらともいえない,ややそう思う,強くそう思う,そう思う,ややそう思う,ややそう思わない,ややそう思う,どちらともいえない,そう思う,そう思う,そう思う,強くそう思う,ややそう思わない,ややそう思わない,そう思わない,ややそう思わない,ややそう思う,ロボット,水,250
11,女性,そう思う,そう思わない,そう思う,全くそう思わない,そう思う,ややそう思う,全くそう思わない,そう思う,強くそう思う,そう思う,ややそう思う,そう思う,そう思う,ややそう思う,全くそう思わない,そう思う,ややそう思わない,そう思わない,そう思わない,全くそう思わない,ややそう思わない,どちらともいえない,ロボット,茶,210
12,男性,ややそう思う,どちらともいえない,全くそう思わない,どちらともいえない,強くそう思う,そう思わない,全くそう思わない,強くそう思う,ややそう思わない,ややそう思わない,ややそう思わない,どちらともいえない,ややそう思わない,全くそう思わない,全くそう思わない,そう思わない,そう思わない,ややそう思う,そう思う,全くそう思わない,ややそう思わない,ややそう思う,ロボット,茶,100
13,女性,強くそう思う,どちらともいえない,そう思う,ややそう思わない,強くそう思う,そう思う,ややそう思う,そう思う,そう思う,そう思わない,そう思わない,そう思わない,そう思わない,そう思う,そう思う,強くそう思う,そう思う,そう思わない,そう思わない,全くそう思わない,全くそう思わない,ややそう思わない,ロボット,茶,350
14,女性,そう思わない,強くそう思う,強くそう思う,そう思う,そう思わない,強くそう思う,ややそう思う,そう思わない,ややそう思わない,強くそう思う,どちらともいえない,そう思う,そう思わない,そう思わない,ややそう思う,そう思う,どちらともいえない,ややそう思う,そう思う,ややそう思う,ややそう思う,そう思わない,人,水,250
15,男性,ややそう思わない,そう思わない,ややそう思う,そう思わない,そう思う,強くそう思う,そう思う,強くそう思う,ややそう思う,そう思う,全くそう思わない,そう思わない,そう思わない,そう思う,強くそう思う,強くそう思う,そう思う,そう思う,そう思わない,そう思わない,そう思わない,どちらともいえない,人,水,200
16,女性,全くそう思わない,そう思わない,そう思う,全くそう思わない,ややそう思う,ややそう思わない,ややそう思わない,強くそう思う,どちらともいえない,強くそう思う,そう思わない,そう思う,そう思わない,そう思わない,そう思わない,そう思う,ややそう思わない,ややそう思う,そう思う,そう思う,そう思う,どちらともいえない,人,茶,200
17,男性,どちらともいえない,ややそう思う,強くそう思う,どちらともいえない,強くそう思う,ややそう思わない,ややそう思う,そう思う,ややそう思わない,ややそう思う,全くそう思わない,そう思わない,全くそう思わない,ややそう思う,どちらともいえない,強くそう思う,どちらともいえない,全くそう思わない,ややそう思わない,そう思わない,ややそう思わない,ややそう思う,人,茶,240
18,女性,そう思わない,ややそう思わない,強くそう思う,ややそう思わない,強くそう思う,強くそう思う,ややそう思う,そう思う,強くそう思う,強くそう思う,全くそう思わない,そう思わない,全くそう思わない,ややそう思う,ややそう思う,強くそう思う,そう思う,全くそう思わない,全くそう思わない,全くそう思わない,全くそう思わない,そう思わない,人,茶,140
19,女性,ややそう思う,ややそう思う,そう思う,ややそう思う,そう思う,そう思う,ややそう思う,そう思う,どちらともいえない,どちらともいえない,そう思わない,そう思わない,ややそう思わない,そう思う,そう思う,強くそう思う,そう思わない,ややそう思う,ややそう思わない,どちらともいえない,ややそう思わない,どちらともいえない,人,茶,110
